A (UBL)	R' U2' R' F' R2 U' R' F' U' F R U R' F U2' R
B (UBR)	R U R' F' R U R' U' R' F R2 U' R' U'
D (UFL)	U L' U' L F L' U' L U L F' L2 U L
E (LUB)	U R' U' : [UBR (B) Parity]
F (LUF)	U2' R' U R U2' R' L' U R U' L
G (LDF)	D U R U' : [UBR (B) Parity]
H (LDB)	R D' R' : [UBR (B) Parity]
I (FUL)	L : [DFL (U) Parity]
K (FDR)	U R U' : [UBR (B) Parity]
L (FDL)	D : [RDF (P) Parity]
N (RUB)	U x' R' F R F' U L' U L U2' R U' R' U
O (RDB)	D' U R U' : [UBR (B) Parity]
P (RDF)	U2 R' F R2 U' R' U' R U R' F' R U R' U
Q (BUR)	U R U' R' U2 L R U' R' U L' U
R (BUL)	L : [UFL (D) Parity]
S (BDL)	U' L U : [UBR (B) Parity]
T (BDR)	D' : [RDF (P) Parity]
U (DFL)	U' x U2' R2' F R F' R U2' r' U r x' U
V (DFR)	D U R2 U' : [UBR (B) Parity]
W (DBR)	U R2 U' : [UBR (B) Parity]
X (DBL)	D' U R2 U' : [UBR (B) Parity]
